"동별","독거노인별","성별","항목","단위","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"평창동","일   반","여","독거노인현황(성별)","","","413","398","418","408","415","507","451","522","541","509",
"무악동","합계","계","독거노인현황(성별)","","","211","205","231","236","265","334","291","327","436","340",
"무악동","합계","남","독거노인현황(성별)","","","66","60","60","64","73","102","84","88","111","90",
"무악동","합계","여","독거노인현황(성별)","","","145","145","171","172","192","232","207","239","325","250",
"무악동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","37","42","41","52","57","62","59","88","81","103",
"무악동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","11","10","8","13","16","15","14","23","23","27",
"무악동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","26","32","33","39","41","47","45","65","58","76",
"무악동","저소득노인","계","독거노인현황(성별)","","","2","21","18","14","17","11","11","20","32","9",
"무악동","저소득노인","남","독거노인현황(성별)","","","","4","3","2","2","2","2","2","4","2",
"무악동","저소득노인","여","독거노인현황(성별)","","","2","17","15","12","15","9","9","18","28","7",
"무악동","일   반","계","독거노인현황(성별)","","","172","142","172","170","191","261","221","219","323","228",
"무악동","일   반","남","독거노인현황(성별)","","","55","46","49","49","55","85","68","63","84","61",
"무악동","일   반","여","독거노인현황(성별)","","","117","96","123","121","136","176","153","156","239","167",
"교남동","합계","계","독거노인현황(성별)","","","530","253","324","346","1650","503","414","444","577","449",
"교남동","합계","남","독거노인현황(성별)","","","192","73","90","264","675","147","120","126","175","125",
"교남동","합계","여","독거노인현황(성별)","","","338","180","234","82","975","356","294","318","402","324",
"교남동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","47","45","53","53","68","89","79","55","119","106",
"교남동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","19","19","26","41","30","37","31","26","47","34",
"교남동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","28","26","27","12","38","52","48","29","72","72",
"교남동","저소득노인","계","독거노인현황(성별)","","","16","13","20","32","25","49","14","18","28","52",
"교남동","저소득노인","남","독거노인현황(성별)","","","3","2","1","18","4","12","3","6","13","18",
"교남동","저소득노인","여","독거노인현황(성별)","","","13","11","19","14","21","37","11","12","15","34",
"교남동","일   반","계","독거노인현황(성별)","","","467","195","251","261","1557","365","321","371","430","291",
"교남동","일   반","남","독거노인현황(성별)","","","170","52","63","205","641","98","86","94","115","73",
"교남동","일   반","여","독거노인현황(성별)","","","297","143","188","56","916","267","235","277","315","218",
"가회동","합계","계","독거노인현황(성별)","","","201","196","197","196","216","296","243","248","251","247",
"가회동","합계","남","독거노인현황(성별)","","","50","49","54","53","61","84","65","72","71","74",
"가회동","합계","여","독거노인현황(성별)","","","151","147","143","143","155","212","178","176","180","173",
"가회동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","18","18","20","19","15","18","22","19","19","34",
"가회동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","5","7","6","6","4","6","8","5","5","13",
"가회동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","13","11","14","13","11","12","14","14","14","21",
"가회동","저소득노인","계","독거노인현황(성별)","","","4","6","10","8","13","4","3","8","10","9",
"가회동","저소득노인","남","독거노인현황(성별)","","","","1","1","1","2","0","0","1","2","2",
"가회동","저소득노인","여","독거노인현황(성별)","","","4","5","9","7","11","4","3","7","8","7",
"가회동","일   반","계","독거노인현황(성별)","","","179","172","167","169","188","274","218","221","222","204",
"가회동","일   반","남","독거노인현황(성별)","","","45","41","47","46","55","78","57","66","64","59",
"가회동","일   반","여","독거노인현황(성별)","","","134","131","120","123","133","196","161","155","158","145",
"종로1.2.3.4가동","합계","계","독거노인현황(성별)","","","1095","1089","838","949","781","1285","1215","1111","1489","1127",
"종로1.2.3.4가동","합계","남","독거노인현황(성별)","","","709","712","553","580","599","761","748","757","1078","788",
"종로1.2.3.4가동","합계","여","독거노인현황(성별)","","","386","377","285","369","182","524","467","354","411","339",
"종로1.2.3.4가동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","202","235","303","286","298","341","372","404","426","474",
"종로1.2.3.4가동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","129","164","232","217","230","265","286","327","344","388",
"종로1.2.3.4가동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","73","71","71","69","68","76","86","77","82","86",
"종로1.2.3.4가동","저소득노인","계","독거노인현황(성별)","","","14","31","25","45","38","24","35","19","21","19",
"종로1.2.3.4가동","저소득노인","남","독거노인현황(성별)","","","8","17","13","30","24","14","25","13","13","9",
"종로1.2.3.4가동","저소득노인","여","독거노인현황(성별)","","","6","14","12","15","14","10","10","6","8","10",
"종로1.2.3.4가동","일   반","계","독거노인현황(성별)","","","879","823","510","618","445","920","808","688","1042","634",
"종로1.2.3.4가동","일   반","남","독거노인현황(성별)","","","572","531","308","333","345","482","437","417","721","391",
"종로1.2.3.4가동","일   반","여","독거노인현황(성별)","","","307","292","202","285","100","438","371","271","321","243",
"종로5.6가동","합계","계","독거노인현황(성별)","","","388","415","731","401","508","501","446","489","616","481",
"종로5.6가동","합계","남","독거노인현황(성별)","","","182","187","435","190","249","241","227","249","336","268",
"종로5.6가동","합계","여","독거노인현황(성별)","","","206","228","296","211","259","260","219","240","280","213",
"종로5.6가동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","57","83","77","66","72","100","101","124","133","146",
"종로5.6가동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","34","51","46","41","46","64","65","82","87","98",
"종로5.6가동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","23","32","31","25","26","36","36","42","46","48",
"종로5.6가동","저소득노인","계","독거노인현황(성별)","","","19","24","24","22","25","30","30","32","24","13",
"종로5.6가동","저소득노인","남","독거노인현황(성별)","","","10","11","14","9","7","10","10","13","9","3",
"종로5.6가동","저소득노인","여","독거노인현황(성별)","","","9","13","10","13","18","20","20","19","15","10",
"종로5.6가동","일   반","계","독거노인현황(성별)","","","312","308","630","313","411","371","315","333","459","322",
"종로5.6가동","일   반","남","독거노인현황(성별)","","","138","125","375","140","196","167","152","154","240","167",
"종로5.6가동","일   반","여","독거노인현황(성별)","","","174","183","255","173","215","204","163","179","219","155",
"이화동","합계","계","독거노인현황(성별)","","","296","305","405","353","596","508","430","456","601","432",
"이화동","합계","남","독거노인현황(성별)","","","229","76","113","102","202","163","136","154","210","145",
"이화동","합계","여","독거노인현황(성별)","","","67","229","292","251","394","345","294","302","391","287",
"이화동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","48","52","51","56","89","84","101","100","134","107",
"이화동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","37","14","17","21","35","34","39","38","58","46",
"이화동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","11","38","34","35","54","50","62","62","76","61",
"이화동","저소득노인","계","독거노인현황(성별)","","","27","26","27","40","130","50","26","40","33","30",
"이화동","저소득노인","남","독거노인현황(성별)","","","15","9","7","10","43","15","6","12","10","9",
"이화동","저소득노인","여","독거노인현황(성별)","","","12","17","20","30","87","35","20","28","23","21",
"이화동","일   반","계","독거노인현황(성별)","","","221","227","327","257","377","374","303","316","434","295",
"이화동","일   반","남","독거노인현황(성별)","","","177","53","89","71","124","114","91","104","142","90",
"이화동","일   반","여","독거노인현황(성별)","","","44","174","238","186","253","260","212","212","292","205",
"창신1동","합계","계","독거노인현황(성별)","","","403","414","459","497","477","646","602","544","813","592",
"창신1동","합계","남","독거노인현황(성별)","","","199","205","248","266","239","330","309","278","427","303",
"창신1동","합계","여","독거노인현황(성별)","","","204","209","211","231","238","316","293","266","386","289",
"창신1동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","117","146","156","174","184","212","208","201","234","216",
"창신1동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","77","101","114","130","134","139","147","138","148","140",
"창신1동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","40","45","42","44","50","73","61","63","86","76",
"창신1동","저소득노인","계","독거노인현황(성별)","","","13","9","11","18","21","29","9","15","37","14",
"창신1동","저소득노인","남","독거노인현황(성별)","","","7","7","8","10","10","15","2","5","14","6",
"창신1동","저소득노인","여","독거노인현황(성별)","","","6","2","3","8","11","14","7","10","23","8",
"창신1동","일   반","계","독거노인현황(성별)","","","273","259","292","305","272","405","385","328","542","362",
"창신1동","일   반","남","독거노인현황(성별)","","","115","97","126","126","95","176","160","135","265","157",
"창신1동","일   반","여","독거노인현황(성별)","","","158","162","166","179","177","229","225","193","277","205",
"창신2동","합계","계","독거노인현황(성별)","","","409","428","470","471","496","631","587","659","951","685",
"창신2동","합계","남","독거노인현황(성별)","","","131","167","151","159","164","238","210","244","380","257",
"창신2동","합계","여","독거노인현황(성별)","","","278","261","319","312","332","393","377","415","571","428",
"창신2동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","93","103","99","102","129","147","147","209","251","268",
"창신2동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","34","39","42","44","54","62","62","91","116","120",
"창신2동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","59","64","57","58","75","85","85","118","135","148",
"창신2동","저소득노인","계","독거노인현황(성별)","","","18","15","24","22","22","16","16","34","26","32",
"창신2동","저소득노인","남","독거노인현황(성별)","","","4","5","8","7","11","4","4","12","6","12",
"창신2동","저소득노인","여","독거노인현황(성별)","","","14","10","16","15","11","12","12","22","20","20",
"창신2동","일   반","계","독거노인현황(성별)","","","298","310","347","347","345","468","424","416","674","385",
"창신2동","일   반","남","독거노인현황(성별)","","","93","123","101","108","99","172","144","141","258","125",
"창신2동","일   반","여","독거노인현황(성별)","","","205","187","246","239","246","296","280","275","416","260",
"창신3동","합계","계","독거노인현황(성별)","","","180","215","215","227","328","326","285","309","404","326",
"창신3동","합계","남","독거노인현황(성별)","","","58","62","60","72","114","123","95","97","142","112",
"창신3동","합계","여","독거노인현황(성별)","","","122","153","155","155","214","203","190","212","262","214",
"창신3동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","28","34","36","39","47","60","60","77","85","111",
"창신3동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","14","14","13","15","20","24","24","35","41","54",
"창신3동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","14","20","23","24","27","36","36","42","44","57",
"창신3동","저소득노인","계","독거노인현황(성별)","","","5","10","15","14","25","16","16","7","11","9",
"창신3동","저소득노인","남","독거노인현황(성별)","","","1","1","3","5","10","7","7","1","2","-",
"창신3동","저소득노인","여","독거노인현황(성별)","","","4","9","12","9","15","9","9","6","9","9",
"창신3동","일   반","계","독거노인현황(성별)","","","147","171","164","174","256","250","209","225","308","206",
"창신3동","일   반","남","독거노인현황(성별)","","","43","47","44","52","84","92","64","61","99","58",
"창신3동","일   반","여","독거노인현황(성별)","","","104","124","120","122","172","158","145","164","209","148",
"숭인1동","합계","계","독거노인현황(성별)","","","322","373","379","409","481","433","378","406","558","447",
"숭인1동","합계","남","독거노인현황(성별)","","","94","121","126","142","176","162","139","153","212","171",
"숭인1동","합계","여","독거노인현황(성별)","","","228","252","253","267","305","271","239","253","346","276",
"숭인1동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","52","58","57","63","74","104","104","116","133","148",
"숭인1동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","20","22","19","22","27","42","42","51","56","65",
"숭인1동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","32","36","38","41","47","62","62","65","77","83",
"숭인1동","저소득노인","계","독거노인현황(성별)","","","10","11","17","25","37","18","18","25","14","27",
"숭인1동","저소득노인","남","독거노인현황(성별)","","","2","3","6","11","16","4","4","9","4","8",
"숭인1동","저소득노인","여","독거노인현황(성별)","","","8","8","11","14","21","14","14","16","10","19",
"숭인1동","일   반","계","독거노인현황(성별)","","","260","304","305","321","370","311","256","265","411","272",
"숭인1동","일   반","남","독거노인현황(성별)","","","72","96","101","109","133","116","93","93","152","98",
"숭인1동","일   반","여","독거노인현황(성별)","","","188","208","204","212","237","195","163","172","259","174",
"숭인2동","합계","계","독거노인현황(성별)","","","542","667","564","566","626","722","660","711","954","749",
"숭인2동","합계","남","독거노인현황(성별)","","","266","363","273","275","319","354","340","352","510","390",
"숭인2동","합계","여","독거노인현황(성별)","","","276","304","291","291","307","368","320","359","444","359",
"숭인2동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","132","120","121","123","125","160","223","218","229","242",
"숭인2동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","89","77","80","82","80","106","138","136","146","161",
"숭인2동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","43","43","41","41","45","54","85","82","83","81",
"숭인2동","저소득노인","계","독거노인현황(성별)","","","25","21","35","35","27","23","58","37","25","28",
"숭인2동","저소득노인","남","독거노인현황(성별)","","","10","9","18","18","10","9","26","16","9","11",
"숭인2동","저소득노인","여","독거노인현황(성별)","","","15","12","17","17","17","14","32","21","16","17",
"숭인2동","일   반","계","독거노인현황(성별)","","","385","526","408","408","474","539","379","456","700","479",
"숭인2동","일   반","남","독거노인현황(성별)","","","167","277","175","175","229","239","176","200","355","218",
"숭인2동","일   반","여","독거노인현황(성별)","","","218","249","233","233","245","300","203","256","345","261",
"청운효자동","합계","계","독거노인현황(성별)","","","437","429","440","448","476","604","514","549","641","536",
"청운효자동","합계","남","독거노인현황(성별)","","","121","109","131","139","140","172","144","165","180","146",
"청운효자동","합계","여","독거노인현황(성별)","","","316","320","309","309","336","432","370","384","461","390",
"청운효자동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","50","54","52","52","53","55","71","72","98","88",
"청운효자동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","12","13","14","13","12","8","12","13","29","25",
"청운효자동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","38","41","38","39","41","47","59","59","69","63",
"청운효자동","저소득노인","계","독거노인현황(성별)","","","24","24","28","32","32","34","23","23","34","43",
"청운효자동","저소득노인","남","독거노인현황(성별)","","","6","7","7","7","8","8","10","5","9","12",
"청운효자동","저소득노인","여","독거노인현황(성별)","","","18","17","21","25","24","26","13","18","25","31",
"청운효자동","일   반","계","독거노인현황(성별)","","","363","351","360","364","391","515","420","454","509","405",
"청운효자동","일   반","남","독거노인현황(성별)","","","103","89","110","119","120","156","122","147","142","109",
"청운효자동","일   반","여","독거노인현황(성별)","","","260","262","250","245","271","359","298","307","367","296",
"혜화동","합계","계","독거노인현황(성별)","","","565","612","672","600","657","786","708","766","846","741",
"혜화동","합계","남","독거노인현황(성별)","","","142","168","178","161","201","242","208","239","278","234",
"혜화동","합계","여","독거노인현황(성별)","","","423","444","494","439","456","544","500","527","568","507",
"혜화동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","47","53","65","48","80","75","106","128","115","114",
"혜화동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","10","12","13","7","21","25","42","50","49","49",
"혜화동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","37","41","52","41","59","50","64","78","66","65",
"혜화동","저소득노인","계","독거노인현황(성별)","","","16","20","31","36","53","29","20","19","37","14",
"혜화동","저소득노인","남","독거노인현황(성별)","","","7","8","11","12","21","13","10","8","16","4",
"혜화동","저소득노인","여","독거노인현황(성별)","","","9","12","20","24","32","16","10","11","21","10",
"혜화동","일   반","계","독거노인현황(성별)","","","502","539","576","516","524","682","582","619","694","613",
"혜화동","일   반","남","독거노인현황(성별)","","","125","148","154","142","159","204","156","181","213","181",
"혜화동","일   반","여","독거노인현황(성별)","","","377","391","422","374","365","478","426","438","481","432",
"중구","합계","계","독거노인현황(성별)","","5344","5374","5528","5725","5935","6323","7117","7553","7425","7987","8088",
"중구","합계","남","독거노인현황(성별)","","1878","1903","1981","2110","2219","2427","2826","3028","2932","3237","3226",
"중구","합계","여","독거노인현황(성별)","","3466","3471","3547","3615","3716","3896","4291","4525","4493","4750","4862",
"중구","국민기초생활보장 수급권자","계","독거노인현황(성별)","","1121","997","1452","1112","1416","1447","1872","2168","2392","2553","2762",
"중구","국민기초생활보장 수급권자","남","독거노인현황(성별)","","461","416","633","514","644","680","889","1028","1133","1220","1364",
"중구","국민기초생활보장 수급권자","여","독거노인현황(성별)","","660","581","819","598","772","767","983","1140","1259","1333","1398",
"중구","저소득노인","계","독거노인현황(성별)","","357","228","213","286","308","325","308","265","366","324","173",
"중구","저소득노인","남","독거노인현황(성별)","","97","92","75","83","78","84","75","67","116","105","38",
"중구","저소득노인","여","독거노인현황(성별)","","260","136","138","203","230","241","233","198","250","219","135",
"중구","일   반","계","독거노인현황(성별)","","3866","4149","3863","4327","4211","4551","4937","5120","4667","5110","5153",
"중구","일   반","남","독거노인현황(성별)","","1320","1395","1273","1513","1497","1663","1862","1933","1683","1912","1824",
"중구","일   반","여","독거노인현황(성별)","","2546","2754","2590","2814","2714","2888","3075","3187","2984","3198","3329",
"소공동","합계","계","독거노인현황(성별)","","","44","54","57","62","72","80","79","70","87","85",
"소공동","합계","남","독거노인현황(성별)","","","24","24","24","31","37","45","45","34","45","42",
"소공동","합계","여","독거노인현황(성별)","","","20","30","33","31","35","35","34","36","42","43",
"소공동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","4","7","5","8","14","15","19","17","17","16",
"소공동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","3","4","3","6","12","14","15","13","13","13",
"소공동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","1","3","2","2","2","1","4","4","4","3",
"소공동","저소득노인","계","독거노인현황(성별)","","","1","1","0","1","1","1","0","-","-","1",
"소공동","저소득노인","남","독거노인현황(성별)","","","","0","0","0","0","0","0","-","-","1",
"소공동","저소득노인","여","독거노인현황(성별)","","","1","1","0","1","1","1","0","-","-","-",
"소공동","일   반","계","독거노인현황(성별)","","","39","46","52","53","57","64","60","53","70","68",
"소공동","일   반","남","독거노인현황(성별)","","","21","20","21","25","25","31","30","21","32","28",
"소공동","일   반","여","독거노인현황(성별)","","","18","26","31","28","32","33","30","32","38","40",
"회현동","합계","계","독거노인현황(성별)","","","436","461","478","480","492","563","578","480","553","499",
"회현동","합계","남","독거노인현황(성별)","","","218","245","260","260","271","310","315","261","324","280",
"회현동","합계","여","독거노인현황(성별)","","","218","216","218","220","221","253","263","219","229","219",
"회현동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","129","156","160","172","182","198","203","213","219","224",
"회현동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","83","110","117","127","132","144","147","152","160","160",
"회현동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","46","46","43","45","50","54","56","61","59","64",
"회현동","저소득노인","계","독거노인현황(성별)","","","15","13","17","11","12","9","8","8","8","2",
"회현동","저소득노인","남","독거노인현황(성별)","","","9","7","5","4","5","4","2","1","2","1",
"회현동","저소득노인","여","독거노인현황(성별)","","","6","6","12","7","7","5","6","7","6","1",
"회현동","일   반","계","독거노인현황(성별)","","","292","292","301","297","298","356","367","259","326","273",
"회현동","일   반","남","독거노인현황(성별)","","","126","128","138","129","134","162","166","108","162","119",
"회현동","일   반","여","독거노인현황(성별)","","","166","164","163","168","164","194","201","151","164","154",
"명동","합계","계","독거노인현황(성별)","","","148","157","157","167","180","199","215","192","199","181",
"명동","합계","남","독거노인현황(성별)","","","79","82","76","82","90","96","109","96","96","81",
"명동","합계","여","독거노인현황(성별)","","","69","75","81","85","90","103","106","96","103","100",
"명동","국민기초생활보장 수급권자","계","독거노인현황(성별)","","","23","27","24","32","32","38","41","30","24","23",
"명동","국민기초생활보장 수급권자","남","독거노인현황(성별)","","","16","20","18","21","21","23","21","12","7","7",
"명동","국민기초생활보장 수급권자","여","독거노인현황(성별)","","","7","7","6","11","11","15","20","18","17","16",
"명동","저소득노인","계","독거노인현황(성별)","","","3","3","7","4","5","5","5","2","-","1",
"명동","저소득노인","남","독거노인현황(성별)","","","1","1","4","2","2","2","2","-","-","-",
"명동","저소득노인","여","독거노인현황(성별)","","","2","2","3","2","3","3","3","2","-","1",
"명동","일   반","계","독거노인현황(성별)","","","122","127","126","131","143","156","169","160","175","157",
"명동","일   반","남","독거노인현황(성별)","","","62","61","54","59","67","71","86","84","89","74",
"명동","일   반","여","독거노인현황(성별)","","","60","66","72","72","76","85","83","76","86","83",
"필동","합계","계","독거노인현황(성별)","","","226","228","226","244","238","349","355","313","316","352",
