연번,시,구,동,도로명,시도청,경찰서,관서명,구분,전화번호,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,기준주소
11,서울특별시,종로구,평창문화로,46,서울청,서울종로,평창,파출소,02-3701-4308,서울특별시 종로구  평창문화로 46,서울특별시 종로구  평창문화로 46,196984.0,455880.0,정좌표,11110183001027318,새주소,서울특별시 종로구 평창문화로 46,서울특별시 종로구 평창동 273-3,30110,11110560000,평창동,11110183000,평창동,서울특별시 종로구 평창문화로 46
12,서울특별시,종로구,삼청로,75-2,서울청,서울종로,삼청,파출소,02-3701-4303,서울특별시 종로구 삼청로 75-2 (팔판동),서울특별시 종로구 삼청로 75-2 (팔판동),198294.0,453337.0,정좌표,11110139001005618,새주소,서울특별시 종로구 삼청로 75-2,서울특별시 종로구 팔판동 56,30540,11110540000,삼청동,11110139000,팔판동,서울특별시 종로구 삼청로 75-2
13,서울특별시,종로구,효자로,9,서울청,서울종로,통의,파출소,02-3701-4304,서울특별시 종로구  효자로 9,서울특별시 종로구  효자로 9,197634.0,452720.0,정좌표,1111010600100350118,새주소,서울특별시 종로구 효자로 9,서울특별시 종로구 통의동 35-66,30440,11110530000,사직동,11110106000,통의동,서울특별시 종로구 효자로 9
14,서울특별시,종로구,자하문로,92-1,서울청,서울종로,청운,파출소,02-3701-4305,서울특별시 종로구  자하문로 92-1,서울특별시 종로구  자하문로 92-1,197331.0,453547.0,정좌표,11110103001001218,새주소,서울특별시 종로구 자하문로 92-1,서울특별시 종로구 궁정동 12-1,30470,11110515000,청운효자동,11110103000,궁정동,서울특별시 종로구 자하문로 92-1
15,서울특별시,종로구,자하문로17길,24,서울청,서울종로,옥인,파출소,02-3701-4506,서울특별시 종로구  자하문로17길 24,서울특별시 종로구  자하문로17길 24,197230.0,453242.0,정좌표,11110111001004518,새주소,서울특별시 종로구 자하문로17길 24,서울특별시 종로구 옥인동 45-16,30350,11110515000,청운효자동,11110111000,옥인동,서울특별시 종로구 자하문로17길 24
16,서울특별시,종로구,송월길,152,서울청,서울종로,교남,파출소,02-3701-4310,서울특별시 종로구  송월길 152,서울특별시 종로구  송월길 152,196591.0,452170.0,정좌표,11110181001021118,새주소,서울특별시 종로구 송월길 152,서울특별시 종로구 행촌동 211-3,31660,11110580000,교남동,11110181000,행촌동,서울특별시 종로구 송월길 152
17,서울특별시,중구,세종대로,141,서울청,서울종로,세종로,파출소,02-3701-4312,서울특별시 중구  세종대로 141,서울특별시 중구  세종대로 141,197847.0,451851.0,정좌표,1114010300100680118,새주소,서울특별시 중구 세종대로 141,서울특별시 중구 태평로1가 68-1,45190,11140550000,명동,11140103000,태평로1가,서울특별시 중구 세종대로 141
18,서울특별시,종로구,경희궁길,6-3,서울청,서울종로,신문로,파출소,02-3701-4311,서울특별시 종로구  경희궁길 6-3,서울특별시 종로구  경희궁길 6-3,197477.0,452054.0,정좌표,11110120001005818,새주소,서울특별시 종로구 경희궁길 6-3,서울특별시 종로구 신문로1가 58-16,31750,11110530000,사직동,11110120000,신문로1가,서울특별시 종로구 경희궁길 6-3
19,서울특별시,종로구,사직로9가길,6,서울청,서울종로,사직,파출소,02-3701-4309,서울특별시 종로구  사직로9가길 6 1층,서울특별시 종로구  사직로9가길 6 1층,197195.0,452697.0,정좌표,11110113001013918,새주소,서울특별시 종로구 사직로9가길 6,서울특별시 종로구 필운동 139-1,30270,11110530000,사직동,11110113000,필운동,서울특별시 종로구 사직로9가길 6
20,서울특별시,종로구,우정국로,45-3,서울청,서울종로,청진,파출소,02-3701-4313,서울특별시 종로구 우정국로 45-3 1층(임시파출소),서울특별시 종로구 우정국로 45-3 1층(임시파출소),198399.0,452298.0,정좌표,1111012900101118,새주소,서울특별시 종로구 우정국로 45-3,서울특별시 종로구 견지동 110-39,31500,11110615000,종로1.2.3.4가동,11110129000,견지동,서울특별시 종로구 우정국로 45-3
21,서울특별시,중구,다동길,11,서울청,서울남대문,태평로,파출소,02-2096-8471,서울특별시 중구  다동길 11,서울특별시 중구  다동길 11,198163.0,451746.0,정좌표,11140102001004618,새주소,서울특별시 중구 다동길 11,서울특별시 중구 다동 46,45210,11140550000,명동,11140102000,다동,서울특별시 중구 다동길 11
22,서울특별시,중구,통일로,15,서울청,서울남대문,서울역,파출소,02-2096-8472,서울특별시 중구  통일로 15,서울특별시 중구  통일로 15,197427.0,450513.0,정좌표,11140120001012218,새주소,서울특별시 중구 통일로 15,서울특별시 중구 봉래동2가 122-17,45090,11140540000,회현동,11140120000,봉래동2가,서울특별시 중구 통일로 15
23,서울특별시,중구,명동길,30,서울청,서울남대문,명동,파출소,02-2096-8473,서울특별시 중구  명동길 30 명동파출소,서울특별시 중구  명동길 30 명동파출소,198513.0,451254.0,정좌표,1114012700100518,새주소,서울특별시 중구 명동길 30,서울특별시 중구 명동2가 50-13,45360,11140550000,명동,11140127000,명동2가,서울특별시 중구 명동길 30
24,서울특별시,중구,남대문시장4길,28-16,서울청,서울남대문,남대문,파출소,02-2096-8474,서울특별시 중구  남대문시장4길 28-16,서울특별시 중구  남대문시장4길 28-16,197844.0,450748.0,정좌표,11140112001005118,새주소,서울특별시 중구 남대문시장4길 28-16,서울특별시 중구 남창동 51-1,45280,11140540000,회현동,11140112000,남창동,서울특별시 중구 남대문시장4길 28-16
25,서울특별시,중구,중림로,36,서울청,서울남대문,중림,파출소,02-2096-8475,서울특별시 중구  중림로 36,서울특별시 중구  중림로 36,197024.0,450624.0,정좌표,11140171001020318,새주소,서울특별시 중구 중림로 36,서울특별시 중구 중림동 203,45020,11140680000,중림동,11140171000,중림동,서울특별시 중구 중림로 36
26,서울특별시,중구,퇴계로6길,3-15,서울청,서울남대문,회현,파출소,02-2096-8476,서울특별시 중구  퇴계로6길 3-15,서울특별시 중구  퇴계로6길 3-15,198049.0,450685.0,정좌표,11140121001019418,새주소,서울특별시 중구 퇴계로6길 3-15,서울특별시 중구 회현동1가 194-15,46340,11140540000,회현동,11140121000,회현동1가,서울특별시 중구 퇴계로6길 3-15
27,서울특별시,중구,서소문로,131-1,서울청,서울남대문,서소문,파출소,02-2096-8477,서울특별시 중구  서소문로 131-1 서소문파출소,서울특별시 중구  서소문로 131-1 서소문파출소,197763.0,451283.0,정좌표,11140166001002418,새주소,서울특별시 중구 서소문로 131-1,서울특별시 중구 서소문동 24,45150,11140520000,소공동,11140166000,서소문동,서울특별시 중구 서소문로 131-1
28,서울특별시,서대문구,독립문로,25-1,서울청,서울서대문,충정로,지구대,02-335-8301,서울특별시 서대문구  독립문로 25-1,서울특별시 서대문구  독립문로 25-1,196493.0,451955.0,정좌표,1141010700101000118,새주소,서울특별시 서대문구 독립문로 25-1,서울특별시 서대문구 옥천동 100-1,37340,11410520000,천연동,11410107000,옥천동,서울특별시 서대문구 독립문로 25-1
29,서울특별시,서대문구,신촌역로,22,서울청,서울서대문,신촌,지구대,02-335-8302,서울특별시 서대문구  신촌역로 22,서울특별시 서대문구  신촌역로 22,194895.0,450700.0,정좌표,11410112001002718,새주소,서울특별시 서대문구 신촌역로 22,서울특별시 서대문구 대현동 27-14,37660,11410585000,신촌동,11410112000,대현동,서울특별시 서대문구 신촌역로 22
30,서울특별시,서대문구,세검정로1길,112,서울청,서울서대문,홍은,파출소,02-335-8303,서울특별시 서대문구 세검정로1길 112,서울특별시 서대문구 세검정로1길 112,195198.0,454771.0,정좌표,1141011800100480518,새주소,서울특별시 서대문구 세검정로1길 112,서울특별시 서대문구 홍은동 48-461,36110,11410660000,홍은1동,11410118000,홍은동,서울특별시 서대문구 세검정로1길 112
31,서울특별시,서대문구,연희로25길,73,서울청,서울서대문,연희,파출소,02-335-8304,서울특별시 서대문구  연희로25길 73,서울특별시 서대문구  연희로25길 73,193998.0,452000.0,정좌표,11410117001008618,새주소,서울특별시 서대문구 연희로25길 73,서울특별시 서대문구 연희동 86-12,36990,11410615000,연희동,11410117000,연희동,서울특별시 서대문구 연희로25길 73
32,서울특별시,서대문구,가재울로4길,51,서울청,서울서대문,남가좌,파출소,02-335-8305,서울특별시 서대문구  가재울로4길 51,서울특별시 서대문구  가재울로4길 51,193221.0,452642.0,정좌표,11410120001033618,새주소,서울특별시 서대문구 가재울로4길 51,서울특별시 서대문구 남가좌동 336-21,36920,11410700000,남가좌2동,11410120000,남가좌동,서울특별시 서대문구 가재울로4길 51
33,서울특별시,서대문구,응암로1길,13,서울청,서울서대문,북가좌,파출소,02-335-8306,서울특별시 서대문구  응암로1길 13,서울특별시 서대문구  응암로1길 13,192032.0,453225.0,정좌표,1141011900103118,새주소,서울특별시 서대문구 응암로1길 13,서울특별시 서대문구 북가좌동 310-2,36790,11410720000,북가좌2동,11410119000,북가좌동,서울특별시 서대문구 응암로1길 13
34,서울특별시,서대문구,통일로,441-1,서울청,서울서대문,홍제,파출소,02-335-8307,서울특별시 서대문구  통일로 441-1,서울특별시 서대문구  통일로 441-1,195035.0,453986.0,정좌표,11410111001017318,새주소,서울특별시 서대문구 통일로 441-1,서울특별시 서대문구 홍제동 173-1,36390,11410620000,홍제1동,11410111000,홍제동,서울특별시 서대문구 통일로 441-1
35,서울특별시,서대문구,연희로,298,서울청,서울서대문,홍은2,파출소,02-335-8308,서울특별시 서대문구  연희로 298,서울특별시 서대문구  연희로 298,194296.0,453479.0,정좌표,11410118001042418,새주소,서울특별시 서대문구 연희로 298,서울특별시 서대문구 홍은동 424,36530,11410685000,홍은2동,11410118000,홍은동,서울특별시 서대문구 연희로 298
36,서울특별시,종로구,창경궁로,279,서울청,서울혜화,혜화,파출소,02-762-0811,서울특별시 종로구  창경궁로 279 ,서울특별시 종로구  창경궁로 279 ,200051.0,453749.0,정좌표,11110169001009218,새주소,서울특별시 종로구 창경궁로 279,서울특별시 종로구 혜화동 92-1,30760,11110650000,혜화동,11110169000,혜화동,서울특별시 종로구 창경궁로 279
37,서울특별시,종로구,이화장2길,33,서울청,서울혜화,대학로,파출소,02-763-1230,서울특별시 종로구  이화장2길 33,서울특별시 종로구  이화장2길 33,200464.0,452921.0,정좌표,11110168001020118,새주소,서울특별시 종로구 이화장2길 33,서울특별시 종로구 동숭동 201-10,30880,11110640000,이화동,11110168000,동숭동,서울특별시 종로구 이화장2길 33
38,서울특별시,종로구,성균관로,78,서울청,서울혜화,명륜,파출소,02-762-1120,서울특별시 종로구  성균관로 78,서울특별시 종로구  성균관로 78,199718.0,454107.0,정좌표,1111017000100270118,새주소,서울특별시 종로구 성균관로 78,서울특별시 종로구 명륜1가 27-55,30690,11110650000,혜화동,11110170000,명륜1가,서울특별시 종로구 성균관로 78
39,서울특별시,종로구,지봉로13길,20-12,서울청,서울혜화,창신,파출소,02-763-4200,서울특별시 종로구  지봉로13길 20-12,서울특별시 종로구  지봉로13길 20-12,201126.0,452910.0,정좌표,1111017400100230918,새주소,서울특별시 종로구 지봉로13길 20-12,서울특별시 종로구 창신동 23-875,30940,11110690000,창신3동,11110174000,창신동,서울특별시 종로구 지봉로13길 20-12
40,서울특별시,종로구,종로58가길,19,서울청,서울혜화,동묘,파출소,02-2252-0547,서울특별시 종로구  종로58가길 19 동묘파출소,서울특별시 종로구  종로58가길 19 동묘파출소,201444.0,452268.0,정좌표,11110175001024218,새주소,서울특별시 종로구 종로58가길 19,서울특별시 종로구 숭인동 242-7,31140,11110710000,숭인2동,11110175000,숭인동,서울특별시 종로구 종로58가길 19
41,서울특별시,종로구,낙산성곽동길,20-1,서울청,서울혜화,덕산,파출소,02-763-6843,서울시 종로구 낙산성곽동길 20-1,서울시 종로구 낙산성곽동길 20-1,200755.0,452457.0,정좌표,1111017400106400118,새주소,서울특별시 종로구 낙산성곽동길 20-1,서울특별시 종로구 창신동 640-137,30970,11110680000,창신2동,11110174000,창신동,서울특별시 종로구 낙산성곽동길 20-1
42,서울특별시,종로구,동호로,407,서울청,서울혜화,종로5가,파출소,02-2267-2287,서울특별시 종로구  동호로 407,서울특별시 종로구  동호로 407,200074.0,452050.0,정좌표,11110163001013818,새주소,서울특별시 종로구 동호로 407,서울특별시 종로구 종로5가 138-1,31950,11110630000,종로5.6가동,11110163000,종로5가,서울특별시 종로구 동호로 407
43,서울특별시,종로구,종로41나길,24-6,서울청,서울혜화,효제,파출소,02-762-8485,서울특별시 종로구  종로41나길 24-6,서울특별시 종로구  종로41나길 24-6,200360.0,452294.0,정좌표,11110164001023818,새주소,서울특별시 종로구 종로41나길 24-6,서울특별시 종로구 종로6가 238-16,31250,11110630000,종로5.6가동,11110164000,종로6가,서울특별시 종로구 종로41나길 24-6
44,서울특별시,용산구,백범로,329,서울청,서울용산,원효,지구대,02-2198-0191,서울특별시 용산구  백범로 329,서울특별시 용산구  백범로 329,196918.0,448486.0,정좌표,11170112001002518,새주소,서울특별시 용산구 백범로 329,서울특별시 용산구 원효로1가 25,43160,11170560000,원효로1동,11170112000,원효로1가,서울특별시 용산구 백범로 329
"45	서울청	서울용산	용중	지구대	02-2198-0117	 서울특별시 용산구  후암로16나길 17, 용중지구대 	서울특별시 용산구  후암로16나길 17, 용중지구대 	198028	449655	정좌표	1117010100102440103	새주소	서울특별시 용산구 후암로16나길 17	서울특별시 용산구 후암동 244-103	04331	1117051000	후암동	1117010100	후암동",,,,,,,,,,,,,,,,,,,,,,,,
46,서울특별시,용산구,이태원로,184,서울청,서울용산,이태원,파출소,02-2198-0125,서울특별시 용산구  이태원로 184,서울특별시 용산구  이태원로 184,199432.0,447998.0,정좌표,11170130001012718,새주소,서울특별시 용산구 이태원로 184,서울특별시 용산구 이태원동 127-10,44060,11170650000,이태원1동,11170130000,이태원동,서울특별시 용산구 이태원로 184
"47	서울청	서울용산	한남	파출소	02-2198-0136	 서울특별시 용산구  대사관로34길 53, 한남파출소 	서울특별시 용산구  대사관로34길 53, 한남파출소 	200491	447650	정좌표	1117013100106220003	새주소	서울특별시 용산구 대사관로34길 53	서울특별시 용산구 한남동 622-3	04410	1117068500	한남동	1117013100	한남동",,,,,,,,,,,,,,,,,,,,,,,,
"48	서울청	서울용산	보광	파출소	02-2198-0143	 서울특별시 용산구  보광로 25-1, 보광파출소 	서울특별시 용산구  보광로 25-1, 보광파출소 	199951	447163	정좌표	1117013600102230005	새주소	서울특별시 용산구 보광로 25-1	서울특별시 용산구 보광동 223-5	04394	1117070000	보광동	1117013600	보광동",,,,,,,,,,,,,,,,,,,,,,,,
49,서울특별시,용산구,한강대로,198-2,서울청,서울용산,삼각지,파출소,02-2198-0152,서울특별시 용산구  한강대로198-2,서울특별시 용산구  한강대로198-2,197695.0,448207.0,정좌표,11170124001001618,새주소,서울특별시 용산구 한강대로 198-2,서울특별시 용산구 한강로1가 16,43530,11170625000,한강로동,11170124000,한강로1가,서울특별시 용산구 한강대로 198-2
50,서울특별시,용산구,서빙고로,67,서울청,서울용산,한강로,지구대,02-2198-0158,서울특별시 용산구  서빙고로67,서울특별시 용산구  서빙고로67,197334.0,446912.0,정좌표,11170127001002418,새주소,서울특별시 용산구 서빙고로 67,서울특별시 용산구 용산동5가 24,43850,11170625000,한강로동,11170127000,용산동5가,서울특별시 용산구 서빙고로 67
51,서울특별시,성북구,아리랑로5길,54,서울청,서울성북,돈암,지구대,02-920-1810,서울특별시 성북구  아리랑로5길 54,서울특별시 성북구  아리랑로5길 54,201025.0,455000.0,정좌표,11290103001057918,새주소,서울특별시 성북구 아리랑로5길 54,서울특별시 성북구 돈암동 579-8,28260,11290590000,돈암2동,11290103000,돈암동,서울특별시 성북구 아리랑로5길 54
52,서울특별시,성북구,지봉로21길,45,서울청,서울성북,안암,지구대,02-920-1820,서울특별시 성북구  지봉로21길 45,서울특별시 성북구  지봉로21길 45,201396.0,453824.0,정좌표,11290132001000118,새주소,서울특별시 성북구 지봉로21길 45,서울특별시 성북구 보문동3가 1-1,28700,11290610000,보문동,11290132000,보문동3가,서울특별시 성북구 지봉로21길 45
53,서울특별시,성북구,삼양로13길,51,서울청,서울성북,길음,지구대,02-920-1830,서울특별시 성북구  삼양로13길 51 길음지구대,서울특별시 성북구  삼양로13길 51 길음지구대,201635.0,456471.0,정좌표,11290134001128118,새주소,서울특별시 성북구 삼양로13길 51,서울특별시 성북구 길음동 1281-5,27240,11290660000,길음1동,11290134000,길음동,서울특별시 성북구 삼양로13길 51
54,서울특별시,성북구,솔샘로,111,서울청,서울성북,정릉,파출소,02-920-1840,서울특별시 성북구  솔샘로 111,서울특별시 성북구  솔샘로 111,200691.0,457081.0,정좌표,11290133001023918,새주소,서울특별시 성북구 솔샘로 111,서울특별시 성북구 정릉동 239-3,27020,11290650000,정릉4동,11290133000,정릉동,서울특별시 성북구 솔샘로 111
55,서울특별시,성북구,정릉로26길,6,서울청,서울성북,정릉2,파출소,02-920-1850,서울특별시 성북구  정릉로26길 6 정릉2파출소,서울특별시 성북구  정릉로26길 6 정릉2파출소,200877.0,455804.0,정좌표,1129013300109660218,새주소,서울특별시 성북구 정릉로26길 6,서울특별시 성북구 정릉동 966-174,28140,11290630000,정릉2동,11290133000,정릉동,서울특별시 성북구 정릉로26길 6
56,서울특별시,성북구,성북로,94,서울청,서울성북,성북,파출소,02-920-1860,서울특별시 성북구  성북로 94  성북파출소,서울특별시 성북구  성북로 94  성북파출소,199795.0,454551.0,정좌표,11290101001006618,새주소,서울특별시 성북구 성북로 94,서울특별시 성북구 성북동 66-23,28370,11290525000,성북동,11290101000,성북동,서울특별시 성북구 성북로 94
57,서울특별시,동대문구,사가정로2길,9,서울청,서울동대문,답십리,지구대,02-961-4301,서울시 동대문구 사가정로 2길 9,서울시 동대문구 사가정로 2길 9,204441.0,452112.0,정좌표,11230105001100418,새주소,서울특별시 동대문구 사가정로2길 9,서울특별시 동대문구 답십리동 1004-1,26010,11230600000,답십리1동,11230105000,답십리동,서울특별시 동대문구 사가정로2길 9
58,서울특별시,동대문구,청계천로,549,서울청,서울동대문,용신,지구대,02-961-4302,서울특별시 동대문구  청계천로549,서울특별시 동대문구  청계천로549,203217.0,452284.0,정좌표,11230102001069618,새주소,서울특별시 동대문구 청계천로 549,서울특별시 동대문구 용두동 696-10,25900,11230536000,용신동,11230102000,용두동,서울특별시 동대문구 청계천로 549
59,서울특별시,동대문구,약령시로21가길,15,서울청,서울동대문,청량리,파출소,02-961-4303,서울특별시 동대문구 약령시로21가길 15,서울특별시 동대문구 약령시로21가길 15,203904.0,453521.0,인근좌표,112300,새주소,서울특별시 동대문구 약령시로21가길 15,서울특별시 동대문구,,,,,,서울특별시 동대문구 약령시로21가길 15
60,서울특별시,동대문구,약령시로17길,59-11,서울청,서울동대문,제기,파출소,02-961-4304,서울특별시 동대문구 약령시로 17길 59-11,서울특별시 동대문구 약령시로 17길 59-11,203642.0,453696.0,정좌표,11230103001028718,새주소,서울특별시 동대문구 약령시로17길 59-11,서울특별시 동대문구 제기동 287-33,24800,11230545000,제기동,11230103000,제기동,서울특별시 동대문구 약령시로17길 59-11
61,서울특별시,동대문구,서울시립대로,56,서울청,서울동대문,전농1,파출소,02-961-4305,서울특별시 동대문구 서울시립대로 56,서울특별시 동대문구 서울시립대로 56,204164.0,452649.0,정좌표,1123010400106518,새주소,서울특별시 동대문구 서울시립대로 56,서울특별시 동대문구 전농동 650-1,25510,11230560000,전농1동,11230104000,전농동,서울특별시 동대문구 서울시립대로 56
62,서울특별시,동대문구,전농로38다길,21,서울청,서울동대문,전농2,파출소,02-961-4306,서울특별시 동대문구 전농로38다길 21,서울특별시 동대문구 전농로38다길 21,204722.0,453784.0,정좌표,1123010400101030518,새주소,서울특별시 동대문구 전농로38다길 21,서울특별시 동대문구 전농동 103-570,24920,11230560000,전농1동,11230104000,전농동,서울특별시 동대문구 전농로38다길 21
63,서울특별시,동대문구,한천로20길,9,서울청,서울동대문,장안1,파출소,02-961-4307,서울특별시 동대문구 한천로20길 9,서울특별시 동대문구 한천로20길 9,205673.0,451929.0,정좌표,1123010600101640118,새주소,서울특별시 동대문구 한천로20길 9,서울특별시 동대문구 장안동 164-9,26260,11230650000,장안1동,11230106000,장안동,서울특별시 동대문구 한천로20길 9
64,서울특별시,동대문구,답십리로69길,100,서울청,서울동대문,장안2,파출소,02-961-4308,서울특별시 동대문구  답십리로 69길 100,서울특별시 동대문구  답십리로 69길 100,206502.0,452724.0,정좌표,11230106001032918,새주소,서울특별시 동대문구 답십리로69길 100,서울특별시 동대문구 장안동 329-5,25210,11230660000,장안2동,11230106000,장안동,서울특별시 동대문구 답십리로69길 100
65,서울특별시,동대문구,한천로,402,서울청,서울동대문,이문,지구대,02-961-4309,서울특별시 동대문구  한천로 402,서울특별시 동대문구  한천로 402,205945.0,454920.0,정좌표,11230110001009218,새주소,서울특별시 동대문구 한천로 402,서울특별시 동대문구 이문동 92-1,24230,11230740000,이문1동,11230110000,이문동,서울특별시 동대문구 한천로 402
66,서울특별시,동대문구,한천로,266,서울청,서울동대문,휘경,파출소,02-961-4310,서울특별시 동대문구  한천로 266,서울특별시 동대문구  한천로 266,205938.0,453598.0,정좌표,1123010900100430218,새주소,서울특별시 동대문구 한천로 266,서울특별시 동대문구 휘경동 43-267,25110,11230730000,휘경2동,11230109000,휘경동,서울특별시 동대문구 한천로 266
67,서울특별시,동대문구,회기로18길,2,서울청,서울동대문,회기,파출소,02-961-4311,서울특별시 동대문구  회기로18길 2,서울특별시 동대문구  회기로18길 2,204509.0,454309.0,정좌표,11230108001010318,새주소,서울특별시 동대문구 회기로18길 2,서울특별시 동대문구 회기동 103-46,24590,11230710000,회기동,11230108000,회기동,서울특별시 동대문구 회기로18길 2
"68	서울청	서울마포	서강	지구대	02-334-4975	 서울특별시 마포구  독막로22길 8(창전동, 서강지구대) 	서울특별시 마포구  독막로22길 8(창전동, 서강지구대) 	193683	449455	정좌표	1144011400104020059	새주소	서울특별시 마포구 독막로22길 8	서울특별시 마포구 창전동 402-59	04078	1144065500	서강동	1144011400	창전동",,,,,,,,,,,,,,,,,,,,,,,,
69,서울특별시,마포구,마포대로,195-1,서울청,서울마포,공덕,지구대,02-703-0492,서울특별시 마포구 마포대로 195-1,서울특별시 마포구 마포대로 195-1,195870.0,449950.0,정좌표,11440101001078518,새주소,서울특별시 마포구 마포대로 195-1,서울특별시 마포구 아현동 785,41180,11440555000,아현동,11440101000,아현동,서울특별시 마포구 마포대로 195-1
70,서울특별시,마포구,월드컵북로30길,24,서울청,서울마포,월드컵,지구대,02-373-1113,서울특별시 마포구  월드컵북로 30길 24,서울특별시 마포구  월드컵북로 30길 24,191892.0,451826.0,정좌표,11440125001060218,새주소,서울특별시 마포구 월드컵북로30길 24,서울특별시 마포구 성산동 602,39460,11440730000,성산2동,11440125000,성산동,서울특별시 마포구 월드컵북로30길 24
71,서울특별시,마포구,양화로11길,63,서울청,서울마포,홍익,지구대,02-334-8150,서울특별시 마포구  양화로11길 63,서울특별시 마포구  양화로11길 63,192278.0,449957.0,정좌표,11440120001049118,새주소,서울특별시 마포구 양화로11길 63,서울특별시 마포구 서교동 491,40360,11440660000,서교동,11440120000,서교동,서울특별시 마포구 양화로11길 63
72,서울특별시,마포구,토정로31길,35,서울청,서울마포,용강,지구대,02-716-6391,서울특별시 마포구 토정로31길 35,서울특별시 마포구 토정로31길 35,194899.0,448924.0,정좌표,11440105001050318,새주소,서울특별시 마포구 토정로31길 35,서울특별시 마포구 용강동 503,41610,11440590000,용강동,11440105000,용강동,서울특별시 마포구 토정로31길 35
73,서울특별시,마포구,매봉산로,76,서울청,서울마포,상암,파출소,02-309-9525,서울특별시 마포구  매봉산로 76,서울특별시 마포구  매봉산로 76,190553.0,452892.0,정좌표,11440127001161418,새주소,서울특별시 마포구 매봉산로 76,서울특별시 마포구 상암동 1614,39270,11440740000,상암동,11440127000,상암동,서울특별시 마포구 매봉산로 76
