연번,시,구,동,도로명,시도청,경찰서,치안센터명,주소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명,기준주소
11,서울특별시,성북구,동소문로,258,서울청,서울성북,정릉1치안센터,서울 성북구 동소문로 258,서울 성북구 동소문로 258,202140,455730,정좌표,11290134001127618,새주소,서울특별시 성북구 동소문로 258,서울특별시 성북구 길음동 1276-3,27350,11290660000,길음1동,11290134000,길음동,서울특별시 성북구 동소문로 258
12,서울특별시,동대문구,고미술로,93,서울청,서울동대문,답십리1치안센터,서울 동대문 고미술로 93,서울 동대문 고미술로 93,204949,451377,정좌표,1123010500105318,새주소,서울특별시 동대문구 고미술로 93,서울특별시 동대문구 답십리동 530-24,26220,11230610000,답십리2동,11230105000,답십리동,서울특별시 동대문구 고미술로 93
13,서울특별시,동대문구,78,,서울청,서울동대문,장안3치안센터,서울 동대문구 장안로18길 78,서울 동대문구 장안로18길 78,203439,452460,(도로명 없음)시군구 좌표,112300,구주소,,서울특별시 동대문구 78,,,,,,서울특별시 동대문구 78
14,서울특별시,마포구,신촌로18길,26,서울청,서울마포,노고산치안센터,서울 마포구 신촌로18길 26,서울 마포구 신촌로18길 26,194160,450251,정좌표,1144011000100570118,새주소,서울특별시 마포구 신촌로18길 26,서울특별시 마포구 노고산동 57-66,40570,11440660000,서교동,11440110000,노고산동,서울특별시 마포구 신촌로18길 26
15,서울특별시,마포구,월드컵로31길,18,서울청,서울마포,망원2치안센터,서울 마포구 월드컵로 31길 18,서울 마포구 월드컵로 31길 18,191426,451043,정좌표,11440123001047118,새주소,서울특별시 마포구 월드컵로31길 18,서울특별시 마포구 망원동 471-22,39610,11440700000,망원2동,11440123000,망원동,서울특별시 마포구 월드컵로31길 18
16,서울특별시,마포구,신촌로2안길,27,서울청,서울마포,동교치안센터,서울 마포구 신촌로2안길 27,서울 마포구 신촌로2안길 27,193628,450556,정좌표,1144012100101790118,새주소,서울특별시 마포구 신촌로2안길 27,서울특별시 마포구 동교동 179-37,40560,11440660000,서교동,11440121000,동교동,서울특별시 마포구 신촌로2안길 27
17,서울특별시,영등포구,도신로29길,13,서울청,서울영등포,도림치안센터,서울 영등포구 도신로 29길 13,서울 영등포구 도신로 29길 13,191502,445264,정좌표,11560118001013318,새주소,서울특별시 영등포구 도신로29길 13,서울특별시 영등포구 도림동 133-1,73690,11560585000,도림동,11560118000,도림동,서울특별시 영등포구 도신로29길 13
18,서울특별시,영등포구,신길로23길,12,서울청,서울영등포,신길5치안센터,서울 영등포구 신길로 23길 12,서울 영등포구 신길로 23길 12,191775,444276,정좌표,1156013200103418,새주소,서울특별시 영등포구 신길로23길 12,서울특별시 영등포구 신길동 340-11,73990,11560670000,신길5동,11560132000,신길동,서울특별시 영등포구 신길로23길 12
19,서울특별시,성동구,왕십리로5길,3,서울청,서울성동,뚝섬치안센터,서울 성동구 왕십리로5길 3,서울 성동구 왕십리로5길 3,203842,449344,정좌표,1120011400106850618,새주소,서울특별시 성동구 왕십리로5길 3,서울특별시 성동구 성수동1가 685-580,47680,11200660000,성수1가2동,11200114000,성수동1가,서울특별시 성동구 왕십리로5길 3
20,서울특별시,동작구,현충로,140-1,서울청,서울동작,흑석2치안센터,서울 동작구 현충로140-1,서울 동작구 현충로140-1,197172,444865,정좌표,11590105001026918,새주소,서울특별시 동작구 현충로 140-1,서울특별시 동작구 흑석동 269-1,69830,11590605000,흑석동,11590105000,흑석동,서울특별시 동작구 현충로 140-1
21,서울특별시,동작구,장승배기로,73,서울청,서울동작,상도2치안센터,서울 동작구 장승배기로 73,서울 동작구 장승배기로 73,194383,444613,정좌표,11590102001036418,새주소,서울특별시 동작구 장승배기로 73,서울특별시 동작구 상도동 364-36,69560,11590540000,상도2동,11590102000,상도동,서울특별시 동작구 장승배기로 73
22,서울특별시,광진구,자양로3가길,28,서울청,서울광진,자양2치안센터,서울 광진구 자양로3가길 28,서울 광진구 자양로3가길 28,207419,447401,정좌표,11215105001066918,새주소,서울특별시 광진구 자양로3가길 28,서울특별시 광진구 자양동 669-2,51060,11215830000,자양2동,11215105000,자양동,서울특별시 광진구 자양로3가길 28
23,서울특별시,광진구,광나루로56길,4,서울청,서울광진,구의3치안센터,서울 광진구 광나루로56길 4,서울 광진구 광나루로56길 4,208582,448552,정좌표,11215103001062918,새주소,서울특별시 광진구 광나루로56길 4,서울특별시 광진구 구의동 629,51180,11215870000,구의3동,11215103000,구의동,서울특별시 광진구 광나루로56길 4
24,서울특별시,은평구,연서로6길,19,서울청,서울서부,역촌1치안센터,서울 은평구 연서로6길 19,서울 은평구 연서로6길 19,192684,455793,정좌표,11380108001002318,새주소,서울특별시 은평구 연서로6길 19,서울특별시 은평구 역촌동 23-34,34020,11380625000,역촌동,11380108000,역촌동,서울특별시 은평구 연서로6길 19
25,서울특별시,강북구,솔매로49길,14,서울청,서울강북,동화치안센터,서울 강북구 솔매로49길 14,서울 강북구 솔매로49길 14,202311,458303,정좌표,11305101001019718,새주소,서울특별시 강북구 솔매로49길 14,서울특별시 강북구 미아동 197-1,11330,11305535000,미아동,11305101000,미아동,서울특별시 강북구 솔매로49길 14
26,서울특별시,강북구,삼양로,678,서울청,서울강북,우이치안센터,서울 강북구 삼양로 678,서울 강북구 삼양로 678,201125,462325,정좌표,11305104001026518,새주소,서울특별시 강북구 삼양로 678,서울특별시 강북구 우이동 265,10010,11305645000,우이동,11305104000,우이동,서울특별시 강북구 삼양로 678
27,서울특별시,강북구,삼양로,457,서울청,서울강북,수유6치안센터,서울 강북구 삼양로 457,서울 강북구 삼양로 457,201325,460204,정좌표,1130510300106050418,새주소,서울특별시 강북구 삼양로 457,서울특별시 강북구 수유동 605-472,10300,11305660000,인수동,11305103000,수유동,서울특별시 강북구 삼양로 457
28,서울특별시,금천구,금하로11길,40,서울청,서울금천,시흥본치안센터,서울 금천구 금하로 11길 40,서울 금천구 금하로 11길 40,191456,439265,정좌표,11545103001084118,새주소,서울특별시 금천구 금하로11길 40,서울특별시 금천구 시흥동 841,86270,11545670000,시흥1동,11545103000,시흥동,서울특별시 금천구 금하로11길 40
29,서울특별시,금천구,시흥대로37길,18,서울청,서울금천,시흥3치안센터,서울 금천구 시흥대로37길 18,서울 금천구 시흥대로37길 18,191315,438183,정좌표,11545103001098518,새주소,서울특별시 금천구 시흥대로37길 18,서울특별시 금천구 시흥동 985-26,86380,11545670000,시흥1동,11545103000,시흥동,서울특별시 금천구 시흥대로37길 18
30,서울특별시,중랑구,용마공원로5길,13,서울청,서울중랑,망우3치안센터,서울 중랑구 용마공원로5길 13,서울 중랑구 용마공원로5길 13,208919,454712,정좌표,11260105001040518,새주소,서울특별시 중랑구 용마공원로5길 13,서울특별시 중랑구 망우동 405-25,21800,11260655000,망우본동,11260105000,망우동,서울특별시 중랑구 용마공원로5길 13
31,서울특별시,,,,서울청,서울강남,코엑스치안센터,서울 봉은사로 524,서울 봉은사로 524,197975,451569,광역시 좌표,,판별불가,,서울특별시,,,,,,서울특별시
32,서울특별시,강남구,압구정로33길,48,서울청,서울강남,압구정치안센터,서울 강남구 압구정로 33길 48,서울 강남구 압구정로 33길 48,202641,447598,정좌표,11680110001045818,새주소,서울특별시 강남구 압구정로33길 48,서울특별시 강남구 압구정동 458,60040,11680545000,압구정동,11680110000,압구정동,서울특별시 강남구 압구정로33길 48
33,서울특별시,관악구,신원로,36,서울청,서울관악,서원치안센터,관악구 신원로 36,관악구 신원로 36,193676,442188,정좌표,11620102001163718,새주소,서울특별시 관악구 신원로 36,서울특별시 관악구 신림동 1637-24,87760,11620645000,서원동,11620102000,신림동,서울특별시 관악구 신원로 36
34,서울특별시,관악구,참숯1길,33,서울청,서울관악,청룡2치안센터,관악구 참숯1길 33,관악구 참숯1길 33,194741,441794,정좌표,11620101001173318,새주소,서울특별시 관악구 참숯1길 33,서울특별시 관악구 봉천동 1733,88300,11620595000,청룡동,11620101000,봉천동,서울특별시 관악구 참숯1길 33
35,서울특별시,강서구,까치산로,51,서울청,서울강서,화곡본동치안센터,서울 강서구 까치산로 51,서울 강서구 까치산로 51,186266,449069,정좌표,1150010300100240318,새주소,서울특별시 강서구 까치산로 51,서울특별시 강서구 화곡동 24-257,77210,11500590000,화곡본동,11500103000,화곡동,서울특별시 강서구 까치산로 51
36,서울특별시,강서구,개화동로,275-1,서울청,서울강서,개화2치안센터,서울 강서구 개화동로 275-1,서울 강서구 개화동로 275-1,182258,453019,정좌표,11500110001044218,새주소,서울특별시 강서구 개화동로 275-1,서울특별시 강서구 개화동 442-9,75040,11500640000,방화2동,11500110000,개화동,서울특별시 강서구 개화동로 275-1
37,서울특별시,성북구,화랑로19길,85,서울청,서울종암,장위2치안센터,서울 성북구 화랑로 19길 85,서울 성북구 화랑로 19길 85,204470,456410,정좌표,1129013800102720118,새주소,서울특별시 성북구 화랑로19길 85,서울특별시 성북구 장위동 272-74,27690,11290770000,장위2동,11290138000,장위동,서울특별시 성북구 화랑로19길 85
38,서울특별시,구로구,신도림로,40,서울청,서울구로,신도림치안센터,서울 구로구 신도림로 40,서울 구로구 신도림로 40,189372,445069,정좌표,1153010100103900218,새주소,서울특별시 구로구 신도림로 40,서울특별시 구로구 신도림동 390-44,82110,11530510000,신도림동,11530101000,신도림동,서울특별시 구로구 신도림로 40
39,서울특별시,구로구,구일로,52,서울청,서울구로,구로1치안센터,서울 구로구 구일로 52,서울 구로구 구일로 52,188891,443225,정좌표,1153010200106850318,새주소,서울특별시 구로구 구일로 52,서울특별시 구로구 구로동 685-218,83250,11530520000,구로1동,11530102000,구로동,서울특별시 구로구 구일로 52
40,서울특별시,구로구,구로동로,141,서울청,서울구로,구로2치안센터,서울 구로구 구로동로 141,서울 구로구 구로동로 141,189618,443242,정좌표,11530102001070418,새주소,서울특별시 구로구 구로동로 141,서울특별시 구로구 구로동 704-12,83090,11530530000,구로2동,11530102000,구로동,서울특별시 구로구 구로동로 141
41,서울특별시,구로구,경인로,293,서울청,서울구로,개봉치안센터,서울 구로구 경인로 293,서울 구로구 경인로 293,186926,443987,정좌표,11530107001014218,새주소,서울특별시 구로구 경인로 293,서울특별시 구로구 개봉동 142-32,82380,11530740000,개봉1동,11530107000,개봉동,서울특별시 구로구 경인로 293
42,서울특별시,구로구,개봉로1가길,28,서울청,서울구로,개봉3치안센터,서울 구로구 개봉로 1가길 28,서울 구로구 개봉로 1가길 28,187003,442638,정좌표,1153010700103618,새주소,서울특별시 구로구 개봉로1가길 28,서울특별시 구로구 개봉동 360-4,83530,11530760000,개봉3동,11530107000,개봉동,서울특별시 구로구 개봉로1가길 28
43,서울특별시,서초구,나루터로,38,서울청,서울서초,잠원치안센터,서울 서초구 나루터로 38,서울 서초구 나루터로 38,201168,445860,정좌표,11650106001005818,새주소,서울특별시 서초구 나루터로 38,서울특별시 서초구 잠원동 58-27,65230,11650540000,잠원동,11650106000,잠원동,서울특별시 서초구 나루터로 38
44,서울특별시,서초구,명달로,55,서울청,서울서초,방서치안센타,서울 서초구 명달로 55,서울 서초구 명달로 55,200320,442246,정좌표,11650101001100118,새주소,서울특별시 서초구 명달로 55,서울특별시 서초구 방배동 1001-32,67070,11650530000,서초3동,11650101000,방배동,서울특별시 서초구 명달로 55
45,서울특별시,서초구,바우뫼로,45,서울청,서울서초,우면치안센터,서울 서초구 바우뫼로 45,서울 서초구 바우뫼로 45,202334,441077,정좌표,11650103001006918,새주소,서울특별시 서초구 바우뫼로 45,서울특별시 서초구 우면동 69,67620,11650651000,양재1동,11650103000,우면동,서울특별시 서초구 바우뫼로 45
46,서울특별시,양천구,목동남로,93,서울청,서울양천,신정7치안센터,서울 양천구 목동남로93,서울 양천구 목동남로93,188337,445485,정좌표,1147010100103318,새주소,서울특별시 양천구 목동남로 93,서울특별시 양천구 신정동 330-11,81000,11470680000,신정7동,11470101000,신정동,서울특별시 양천구 목동남로 93
47,서울특별시,송파구,백제고분로,392,서울청,서울송파,송파1치안센터,서울 송파구 백제고분로 392,서울 송파구 백제고분로 392,209595,444899,정좌표,11710104001011318,새주소,서울특별시 송파구 백제고분로 392,서울특별시 송파구 송파동 113-1,56660,11710580000,송파1동,11710104000,송파동,서울특별시 송파구 백제고분로 392
48,서울특별시,송파구,오금로46길,55,서울청,서울송파,가락2치안센터,서울 송파구 오금로 46길 55,서울 송파구 오금로 46길 55,211637,443454,정좌표,11710107001019718,새주소,서울특별시 송파구 오금로46길 55,서울특별시 송파구 가락동 197-21,57850,11710632000,가락2동,11710107000,가락동,서울특별시 송파구 오금로46길 55
49,서울특별시,노원구,공릉로,290,서울청,서울노원,하계1치안센터,서울 노원구 공릉로 290,서울 노원구 공릉로 290,206327,458994,정좌표,11350104001014118,새주소,서울특별시 노원구 공릉로 290,서울특별시 노원구 하계동 141-8,18090,11350611000,하계1동,11350104000,하계동,서울특별시 노원구 공릉로 290
50,서울특별시,서초구,방배중앙로,131,서울청,서울방배,방배4치안센터,서울 서초구 방배중앙로 131,서울 서초구 방배중앙로 131,198773,443190,정좌표,11650101001082118,새주소,서울특별시 서초구 방배중앙로 131,서울특별시 서초구 방배동 821-1,65640,11650621000,방배4동,11650101000,방배동,서울특별시 서초구 방배중앙로 131
51,서울특별시,은평구,불광로,129,서울청,서울은평,불광1치안센터,서울 은평구 불광로 129,서울 은평구 불광로 129,194008,457331,정좌표,11380103001001318,새주소,서울특별시 은평구 불광로 129,서울특별시 은평구 불광동 13-33,33540,11380520000,불광1동,11380103000,불광동,서울특별시 은평구 불광로 129
52,서울특별시,은평구,진관2로,125,서울청,서울은평,신도치안센터,서울 은평구 진관2로 125,서울 은평구 진관2로 125,193871,459110,정좌표,11380114001009118,새주소,서울특별시 은평구 진관2로 125,서울특별시 은평구 진관동 91-1,33050,11380690000,진관동,11380114000,진관동,서울특별시 은평구 진관2로 125
53,서울특별시,은평구,진관4로,48-25,서울청,서울은평,상림치안센터,서울 은평구 진관4로 48-25,서울 은평구 진관4로 48-25,193659,460207,정좌표,11380114001001218,새주소,서울특별시 은평구 진관4로 48-25,서울특별시 은평구 진관동 12-1,33030,11380690000,진관동,11380114000,진관동,서울특별시 은평구 진관4로 48-25
54,서울특별시,도봉구,방학로12길,18,서울청,서울도봉,방학2치안센터,서울 도봉구 방학로 12길 18,서울 도봉구 방학로 12길 18,202636,462276,정좌표,1132010600103060118,새주소,서울특별시 도봉구 방학로12길 18,서울특별시 도봉구 방학동 306-41,13570,11320700000,방학2동,11320106000,방학동,서울특별시 도봉구 방학로12길 18
55,서울특별시,강남구,삼성로,236,서울청,서울수서,은마치안센터,서울 강남구 삼성로 236,서울 강남구 삼성로 236,205365,444018,정좌표,1168010600110218,새주소,서울특별시 강남구 삼성로 236,서울특별시 강남구 대치동 1020,62840,11680610000,대치2동,11680106000,대치동,서울특별시 강남구 삼성로 236
56,,,,,부산청,부산중부,창선치안센터,광복중앙로1,광복중앙로1,-106271,-103379,정제실패,,판별불가,,,,,,,,
57,부산광역시,동래구,명서로,111,부산청,부산동래,명장2치안센터,부산 동래구 명서로 111,부산 동래구 명서로 111,391170,192351,정좌표,26260101001050618,새주소,부산광역시 동래구 명서로 111,부산광역시 동래구 명장동 506-3,477600,26260762000,명장2동,26260101000,명장동,부산광역시 동래구 명서로 111
58,부산광역시,동래구,석사북로,93,부산청,부산동래,온천3치안센터,부산 동래구 석사북로 93,부산 동래구 석사북로 93,388088,191566,정좌표,26260108001123618,새주소,부산광역시 동래구 석사북로 93,부산광역시 동래구 온천동 1236-10,478480,26260570000,온천3동,26260108000,온천동,부산광역시 동래구 석사북로 93
59,부산광역시,동래구,사직북로63번길,22,부산청,부산동래,사직2치안센터,부산 동래구 사직북로63번길 22,부산 동래구 사직북로63번길 22,387298,190825,정좌표,26260109001103618,새주소,부산광역시 동래구 사직북로63번길 22,부산광역시 동래구 사직동 1036,478610,26260590000,사직2동,26260109000,사직동,부산광역시 동래구 사직북로63번길 22
60,부산광역시,영도구,,,부산청,부산영도,영선2치안센터,부산 영도구 남항 새싹3길 2,부산 영도구 남항 새싹3길 2,388511,178862,시군구 좌표,262000,판별불가,,부산광역시 영도구,,,,,,부산광역시 영도구
61,부산광역시,영도구,절영로,91,부산청,부산영도,남항치안센터,부산 영도구 절영로 91,부산 영도구 절영로 91,385955,178294,정좌표,262001060010218,새주소,부산광역시 영도구 절영로 91,부산광역시 영도구 남항동2가 200,490550,26200530000,남항동,26200106000,남항동2가,부산광역시 영도구 절영로 91
62,부산광역시,영도구,상리로,41,부산청,부산영도,동삼3치안센터,부산 영도구 상리로 41,부산 영도구 상리로 41,388611,178136,정좌표,26200121001112318,새주소,부산광역시 영도구 상리로 41,부산광역시 영도구 동삼동 1123-10,490890,26200670000,동삼3동,26200121000,동삼동,부산광역시 영도구 상리로 41
63,부산광역시,영도구,하나길,813,부산청,부산영도,청학1치안센터,부산 영도구 하나길 813,부산 영도구 하나길 813,387458,179149,정좌표,26200120001038618,새주소,부산광역시 영도구 하나길 813,부산광역시 영도구 청학동 386-186,490250,26200630000,청학1동,26200120000,청학동,부산광역시 영도구 하나길 813
64,부산광역시,영도구,봉래길,120,부산청,부산영도,봉래치안센터,부산 영도구 봉래길 120,부산 영도구 봉래길 120,387039,178887,정좌표,26200119001016818,새주소,부산광역시 영도구 봉래길 120,부산광역시 영도구 봉래동5가 168-7,490320,26200605000,봉래2동,26200119000,봉래동5가,부산광역시 영도구 봉래길 120
65,,,,,부산청,부산동부,초량2치안센터,동구 중앙대로 251번길 42,동구 중앙대로 251번길 42,-106271,-103379,정제실패,,판별불가,,,,,,,,
66,,,,,부산청,부산동부,역전치안센터,동구 중앙대로 210,동구 중앙대로 210,-106271,-103379,정제실패,,판별불가,,,,,,,,
67,,,,,부산청,부산부산진,시민공원치안센터,진구 시민공원로73,진구 시민공원로73,-106271,-103379,정제실패,,판별불가,,,,,,,,
68,,,,,부산청,부산부산진,중앙치안센터,진구 중앙대로702번길47,진구 중앙대로702번길47,-106271,-103379,정제실패,,판별불가,,,,,,,,
69,,,,,부산청,부산부산진,부전2치안센터,진구 부전로33,진구 부전로33,-106271,-103379,정제실패,,판별불가,,,,,,,,
70,,,,,부산청,부산부산진,당감1치안센터,진구 백양대로50,진구 백양대로50,-106271,-103379,정제실패,,판별불가,,,,,,,,
71,,,,,부산청,부산부산진,가야1치안센터,진구 대학로7,진구 대학로7,-106271,-103379,정제실패,,판별불가,,,,,,,,
72,부산광역시,서구,서대신동2가,410-2,부산청,부산서부,서대치안센터,부산시 서구 서대신동2가 410-2,부산시 서구 서대신동2가 410-2,383270,180825,정좌표,2614010500104118,구주소,,부산광역시 서구 서대신동2가 410-2,,26140540000,서대신1동,26140105000,서대신동2가,부산광역시 서구 서대신동2가 410-2
73,,,,,부산청,부산남부,용호2치안센터,남구 용주로 36,남구 용주로 36,-106271,-103379,정제실패,,판별불가,,,,,,,,
74,,,,,부산청,부산남부,대연1치안센터,남구 유엔평화로13번길 63,남구 유엔평화로13번길 63,-106271,-103379,정제실패,,판별불가,,,,,,,,
75,,,,,부산청,부산남부,용호1치안센터,남구 용호로42번길 27,남구 용호로42번길 27,-106271,-103379,정제실패,,판별불가,,,,,,,,
76,,,,,부산청,부산남부,대연4치안센터,남구 유엔로 152,남구 유엔로 152,-106271,-103379,정제실패,,판별불가,,,,,,,,
77,부산광역시,수영구,남천동로,76,부산청,부산남부,남천2치안센터,수영구 남천동로 76,수영구 남천동로 76,392567,184755,정좌표,26500105001014818,새주소,부산광역시 수영구 남천동로 76,부산광역시 수영구 남천동 148-67,483050,26500670000,남천2동,26500105000,남천동,부산광역시 수영구 남천동로 76
78,부산광역시,수영구,수영로,635,부산청,부산남부,광안1치안센터,수영구 수영로 635,수영구 수영로 635,392533,186848,정좌표,26500104001065918,새주소,부산광역시 수영구 수영로 635,부산광역시 수영구 광안동 659-12,482470,26500760000,광안1동,26500104000,광안동,부산광역시 수영구 수영로 635
79,대구광역시,,,,부산청,부산해운대,우1치안센터,해운대구 우동1로 56,해운대구 우동1로 56,344593,264653,광역시 좌표,,판별불가,,대구광역시,,,,,,대구광역시
80,대구광역시,,,,부산청,부산해운대,재송2치안센터,해운대구 해운대로81번길 117,해운대구 해운대로81번길 117,344593,264653,광역시 좌표,,판별불가,,대구광역시,,,,,,대구광역시
81,대구광역시,수성구,중동,1,부산청,부산해운대,중1치안센터,해운대구 중동1로37번길 22,해운대구 중동1로37번길 22,345692,262401,인근좌표,272600,구주소,,대구광역시 수성구 중동 1,,27260610000,중동,27260108000,중동,대구광역시 수성구 중동 1
82,대구광역시,,,,부산청,부산해운대,좌3치안센터,해운대구 좌동순환로 20,해운대구 좌동순환로 20,344593,264653,광역시 좌표,,판별불가,,대구광역시,,,,,,대구광역시
83,부산광역시,사상구,모덕로,13,부산청,부산사상,삼락치안센터,사상구 모덕로13,사상구 모덕로13,380105,188880,정좌표,26530101001036418,새주소,부산광역시 사상구 모덕로 13,부산광역시 사상구 삼락동 364-8,469070,26530580000,삼락동,26530101000,삼락동,부산광역시 사상구 모덕로 13
84,부산광역시,사상구,사상로202번길,27,부산청,부산사상,괘법치안센터,사상구  사상로 202번길 27,사상구  사상로 202번길 27,380839,186758,정좌표,26530104001053718,새주소,부산광역시 사상구 사상로202번길 27,부산광역시 사상구 괘법동 537-2,469650,26530620000,괘법동,26530104000,괘법동,부산광역시 사상구 사상로202번길 27
85,부산광역시,사상구,모덕로,84,부산청,부산사상,덕포2치안센터,사상구 모덕로 84,사상구 모덕로 84,380777,188683,정좌표,26530103001024718,새주소,부산광역시 사상구 모덕로 84,부산광역시 사상구 덕포동 247-12,469430,26530610000,덕포2동,26530103000,덕포동,부산광역시 사상구 모덕로 84
86,부산광역시,사상구,가야대로255번길,17-5,부산청,부산사상,주례1치안센터,사상구 가야대로255번길 17-5,사상구 가야대로255번길 17-5,382270,185412,정좌표,26530106001042718,새주소,부산광역시 사상구 가야대로255번길 17-5,부산광역시 사상구 주례동 427-4,470020,26530650000,주례1동,26530106000,주례동,부산광역시 사상구 가야대로255번길 17-5
87,부산광역시,금정구,금강로,,부산청,부산금정,구서2치안센터,금정구 금강로565길 23 (구서동),금정구 금강로565길 23 (구서동),389848,196071,도로중심좌표,264100,새주소,부산광역시 금정구 금강로,부산광역시 금정구,,,,,,부산광역시 금정구 금강로
88,부산광역시,사하구,낙동대로,188,부산청,부산사하,괴정3치안센터,사하구 낙동대로 188,사하구 낙동대로 188,381916,179857,정좌표,26380101001026218,새주소,부산광역시 사하구 낙동대로 188,부산광역시 사하구 괴정동 262-3,493380,26380530000,괴정3동,26380101000,괴정동,부산광역시 사하구 낙동대로 188
89,부산광역시,연제구,월드컵대로165번길,70,부산청,부산연제,연산5치안센터,연제구 월드컵대로165번길 70,연제구 월드컵대로165번길 70,389051,189225,정좌표,26470102001147818,새주소,부산광역시 연제구 월드컵대로165번길 70,부산광역시 연제구 연산동 1478-1,475390,26470690000,연산5동,26470102000,연산동,부산광역시 연제구 월드컵대로165번길 70
90,부산광역시,연제구,과정로,227,부산청,부산연제,연산8치안센터,연제구 과정로 227,연제구 과정로 227,391417,189614,정좌표,26470102001040718,새주소,부산광역시 연제구 과정로 227,부산광역시 연제구 연산동 407,475570,26470720000,연산8동,26470102000,연산동,부산광역시 연제구 과정로 227
91,부산광역시,연제구,거제대로286번길,6,부산청,부산연제,거제1치안센터,연제구 거제대로286번길 6,연제구 거제대로286번길 6,389244,189971,정좌표,26470101001000218,새주소,부산광역시 연제구 거제대로286번길 6,부산광역시 연제구 거제동 2-4,475220,26470610000,거제1동,26470101000,거제동,부산광역시 연제구 거제대로286번길 6
92,부산광역시,연제구,해맞이로,103,부산청,부산연제,거제2치안센터, 연제구 해맞이로 103,연제구 해맞이로 103,388444,189098,정좌표,2647010100108150318,새주소,부산광역시 연제구 해맞이로 103,부산광역시 연제구 거제동 815-63,475310,26470640000,거제4동,26470101000,거제동,부산광역시 연제구 해맞이로 103
